words,unique_words,ttr,hapax,ASL,ASW,FK,punct_per_1000__,punct_per_1000____,total_punct_per_1000,label
11,11,1.0,11,5.5,1.4545454545454546,3.7186363636363637,0.0,0.0,90.9090909090909,human
4,4,1.0,4,4.0,1.25,0.7199999999999989,0.0,0.0,250.0,human
4,4,1.0,4,2.0,1.75,5.840000000000003,0.0,0.0,250.0,human
7,7,1.0,7,2.3333333333333335,1.5714285714285714,3.8628571428571448,0.0,0.0,285.7142857142857,human
25,22,0.88,19,6.25,1.32,2.4235000000000007,0.0,0.0,160.0,human
14,13,0.9285714285714286,12,7.0,1.2142857142857142,1.4685714285714297,0.0,0.0,214.28571428571428,human
10,10,1.0,10,5.0,1.1,-0.6599999999999966,0.0,0.0,100.0,human
10,10,1.0,10,5.0,1.3,1.7000000000000028,0.0,0.0,200.0,human
20,17,0.85,14,5.0,1.2,0.5199999999999996,0.0,0.0,150.0,human
8,8,1.0,8,4.0,1.125,-0.754999999999999,0.0,0.0,375.0,human
8,8,1.0,8,4.0,1.25,0.7199999999999989,0.0,0.0,125.0,human
3,3,1.0,3,3.0,1.3333333333333333,1.3133333333333361,0.0,0.0,333.3333333333333,human
43,36,0.8372093023255814,31,21.5,1.4186046511627908,9.534534883720934,0.0,0.0,69.76744186046511,human
23,21,0.9130434782608695,19,7.666666666666667,1.2608695652173914,2.2782608695652193,0.0,0.0,86.95652173913044,human
25,24,0.96,23,5.0,1.32,1.9360000000000035,0.0,0.0,240.0,human
15,15,1.0,15,7.5,1.5333333333333334,5.428333333333338,0.0,0.0,200.0,human
20,16,0.8,13,10.0,1.15,1.879999999999999,0.0,0.0,100.0,human
33,27,0.8181818181818182,22,8.25,1.3333333333333333,3.3608333333333356,0.0,0.0,212.12121212121212,human
9,9,1.0,9,4.5,1.4444444444444444,3.2094444444444434,0.0,0.0,111.1111111111111,human
22,21,0.9545454545454546,20,7.333333333333333,1.4090909090909092,3.8972727272727283,0.0,0.0,227.27272727272725,human
27,23,0.8518518518518519,20,13.5,1.4814814814814814,7.156481481481482,0.0,0.0,74.07407407407408,human
9,9,1.0,9,3.0,2.0,9.180000000000003,0.0,0.0,555.5555555555555,human
23,21,0.9130434782608695,19,7.666666666666667,1.9130434782608696,9.973913043478266,0.0,0.0,217.3913043478261,human
14,13,0.9285714285714286,12,7.0,1.2142857142857142,1.4685714285714297,0.0,0.0,71.42857142857143,human
128,94,0.734375,81,25.6,1.578125,13.015875000000005,0.0,0.0,117.1875,human
62,48,0.7741935483870968,40,15.5,1.403225806451613,7.013064516129031,0.0,0.0,177.4193548387097,human
75,54,0.72,41,25.0,1.28,9.264,0.0,0.0,200.0,human
31,28,0.9032258064516129,25,7.75,1.3548387096774193,3.419596774193547,0.0,0.0,161.29032258064515,human
69,57,0.8260869565217391,49,23.0,1.3623188405797102,9.455362318840582,0.0,0.0,115.94202898550725,human
21,20,0.9523809523809523,19,7.0,1.7619047619047619,7.930476190476192,0.0,0.0,95.23809523809523,human
14,14,1.0,14,7.0,1.5714285714285714,5.682857142857145,0.0,0.0,285.7142857142857,human
68,54,0.7941176470588235,47,22.666666666666668,1.5735294117647058,11.817647058823535,0.0,0.0,161.76470588235296,human
15,14,0.9333333333333333,13,7.5,1.4666666666666666,4.641666666666666,0.0,0.0,333.3333333333333,human
12,11,0.9166666666666666,10,6.0,1.75,7.400000000000002,0.0,0.0,83.33333333333333,human
121,86,0.7107438016528925,70,15.125,1.5289256198347108,8.350072314049587,0.0,0.0,140.49586776859505,human
39,31,0.7948717948717948,25,19.5,1.5384615384615385,10.168846153846157,0.0,0.0,102.56410256410255,human
96,74,0.7708333333333334,59,24.0,1.4375,10.732500000000002,0.0,0.0,156.25,human
38,36,0.9473684210526315,34,12.666666666666666,1.736842105263158,9.844736842105267,0.0,0.0,157.89473684210526,human
17,17,1.0,17,5.666666666666667,1.3529411764705883,2.5847058823529423,0.0,0.0,294.11764705882354,human
39,32,0.8205128205128205,27,9.75,1.2820512820512822,3.34070512820513,0.0,0.0,128.2051282051282,human
20,20,1.0,20,6.666666666666667,1.45,4.120000000000001,0.0,0.0,250.0,human
10,10,1.0,10,5.0,1.4,2.879999999999999,0.0,0.0,300.0,human
49,39,0.7959183673469388,32,24.5,1.7142857142857142,14.193571428571428,0.0,0.0,122.44897959183673,human
124,91,0.7338709677419355,73,17.714285714285715,1.4112903225806452,7.971797235023043,0.0,0.0,145.16129032258067,human
26,26,1.0,26,13.0,1.5384615384615385,7.633846153846157,0.0,0.0,307.69230769230774,human
18,17,0.9444444444444444,16,9.0,1.5,5.6200000000000045,0.0,0.0,166.66666666666666,human
16,16,1.0,16,8.0,1.4375,4.492500000000003,0.0,0.0,250.0,human
82,58,0.7073170731707317,44,20.5,1.3414634146341464,8.23426829268293,0.0,0.0,170.7317073170732,human
